"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2309","add products in cart and checkout","","Mon Jul 07 16:11:11 GMT 2025","passed","Mon Jul 07 16:11:13 GMT 2025","","Add Products in Cart and Checkout","Add Products in Cart and Checkout","add products in cart and checkout"
"","2256","add products in cart and checkout","","Mon Jul 07 16:11:11 GMT 2025","passed","Mon Jul 07 16:11:13 GMT 2025","","Add Products in Cart and Checkout","",""
